Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BAT1","CR2032","TE Connectivity CR2032 V",106.379000,-108.160000,0.000000,top
"C1","220u","CP_Elec_6.3x7.7",183.967499,-92.923500,0.000000,top
"C2","100u","CP_Elec_5x5.4",183.967499,-101.178500,0.000000,top
"C3","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.153500,-100.457000,0.000000,top
"C4","47n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",171.896000,-103.909500,90.000000,top
"C5","2.2n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.675800,-93.003400,90.000000,top
"C6","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",176.976000,-103.909500,-90.000000,top
"C7","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.105500,-98.211500,0.000000,top
"C8","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",144.526000,-101.219000,-90.000000,top
"C9","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",144.526000,-106.807000,-90.000000,top
"C10","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",147.574000,-106.807000,-90.000000,top
"C11","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",147.574000,-101.219000,-90.000000,top
"C12","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",161.355000,-101.940500,-90.000000,top
"C13","10u/25v","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",82.996000,-86.106000,90.000000,top
"C14","0.1u/25v","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",87.045800,-87.233900,90.000000,top
"C15","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",100.811500,-117.475000,0.000000,top
"C16","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.561500,-118.491000,180.000000,top
"C17","1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",100.670500,-85.852000,180.000000,top
"C18","100u","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",101.948050,-81.788000,180.000000,top
"C19","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",109.179500,-81.788000,180.000000,top
"C20","10u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",85.293200,-101.294600,90.000000,top
"C21","0.1u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",88.823800,-101.437300,90.000000,top
"C22","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.266000,-113.471000,-90.000000,top
"C23","100u/25V","CP_EIA-7343-30_AVX-N_Pad2.25x2.55mm_HandSolder",77.901800,-86.766800,90.000000,top
"C24","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",85.344000,-93.955700,-90.000000,top
"C25","470u","CP_Elec_6.3x7.7",205.740000,-120.396000,90.000000,top
"C26","470u","CP_Elec_6.3x7.7",188.279000,-120.396000,90.000000,top
"C27","470u","CP_Elec_6.3x7.7",203.581000,-101.346000,90.000000,top
"C28","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.822000,-102.716500,90.000000,top
"C29","47p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.075000,-87.349500,90.000000,top
"C30","47p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",90.043000,-87.349500,90.000000,top
"C31","10p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",108.265000,-97.435500,90.000000,top
"C32","10p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",102.042000,-97.435500,90.000000,top
"C33","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",108.331000,-102.642500,-90.000000,top
"D1","BAT43W-V","D_SOD-123",111.634000,-116.586000,0.000000,top
"D3","1N5819","Nexperia_CFP3_SOD-123W",88.395000,-83.185000,180.000000,top
"D4","LED","DIALIGHT_LED_3MM_SINGLE",86.824750,-123.598500,0.000000,top
"D6","BAT43W-V","D_SOD-123",199.137000,-123.571000,0.000000,top
"D8","BAT43W-V","D_SOD-123",196.978000,-104.775000,0.000000,top
"D9","BAT43W-V","D_SOD-123",106.044000,-116.586000,180.000000,top
"D10","BAT43W-V","D_SOD-123",181.642000,-123.571000,0.000000,top
"D11","LED_Dual_AKAK","DIALIGHT_LED_3MM_DOUBLE",162.498000,-120.988500,0.000000,top
"D12","LED_Dual_AKAK","DIALIGHT_LED_3MM_DOUBLE",168.848000,-120.988500,0.000000,top
"J1","VGA","DSUB-15-HD AssMann HD 15FW",161.663000,-84.732000,180.000000,top
"J2","Keyboard","Connector_Mini-DIN_Female_6Pin_2rows",126.616000,-118.958500,0.000000,top
"J3","Mouse","Connector_Mini-DIN_Female_6Pin_2rows",151.217000,-118.958500,0.000000,top
"J4","Line-out/Speaker","Jack_3.5mm_Ledino_KB3SPRS_Horizontal-alt",195.236000,-77.693000,-90.000000,top
"J5","RS-232 V.24","DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",210.520000,-104.988500,90.000000,top
"J6","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_Molex_213716-0001",93.176000,-79.588500,180.000000,top
"J7","Line-out/Speaker","PinHeader_1x02_P2.54mm_Vertical",188.295200,-84.582000,-90.000000,top
"J8","10K pot","PinHeader_1x03_P2.54mm_Vertical",164.084000,-106.426000,90.000000,top
"K1","IM41 3V","Relay_DPDT_AXICOM_IMSeries_Gullwing",196.671000,-112.268500,-90.000000,top
"K2","IM41 3V","Relay_DPDT_AXICOM_IMSeries_Gullwing",179.450500,-112.268500,-90.000000,top
"K3","IM41 3V","Relay_DPDT_AXICOM_IMSeries_Gullwing",195.804750,-93.225500,-90.000000,top
"Q1","BC817","SOT-23",89.583500,-111.699000,180.000000,top
"Q2","BC817","SOT-23",96.568500,-116.459000,180.000000,top
"Q3","BC817","SOT-23",199.583000,-119.933500,0.000000,top
"Q4","BC817","SOT-23",182.039500,-119.908500,0.000000,top
"Q5","BC817","SOT-23",197.375500,-101.133000,0.000000,top
"Q6","BC817","SOT-23",194.311000,-122.809000,-90.000000,top
"Q7","BC817","SOT-23",176.816000,-122.809000,-90.000000,top
"Q8","BC817","SOT-23",192.152000,-104.013000,-90.000000,top
"R1","820","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-86.446500,0.000000,top
"R2","390","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-84.668500,0.000000,top
"R3","820","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-90.002500,0.000000,top
"R4","390","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-88.224500,0.000000,top
"R5","820","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-93.558500,0.000000,top
"R6","390","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-91.780500,0.000000,top
"R7","220","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-82.763500,180.000000,top
"R8","220","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.868500,-80.858500,180.000000,top
"R9","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.507000,-111.275500,90.000000,top
"R10","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.571000,-111.275500,90.000000,top
"R11","120","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",125.603000,-111.275500,90.000000,top
"R12","120","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.539000,-111.275500,90.000000,top
"R13","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.699000,-111.275500,90.000000,top
"R14","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",127.635000,-111.275500,90.000000,top
"R15","120","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.667000,-111.275500,90.000000,top
"R16","120","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.731000,-111.275500,90.000000,top
"R17","10","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.436000,-103.909500,-90.000000,top
"R18","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.088800,-93.053400,-90.000000,top
"R19","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.155500,-102.616000,0.000000,top
"R20","150","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.055500,-96.052500,0.000000,top
"R21","270","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.065000,-93.857185,180.000000,top
"R22","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",93.599000,-111.736500,90.000000,top
"R23","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",93.599000,-116.562500,90.000000,top
"R24","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",100.761500,-115.443000,0.000000,top
"R25","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",89.558500,-115.570000,0.000000,top
"R26","12K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",96.901000,-89.508500,-90.000000,top
"R27","5K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.701000,-97.646000,90.000000,top
"R28","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.266000,-108.441000,-90.000000,top
"R29","12K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",94.869000,-89.508500,-90.000000,top
"R30","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",84.963000,-117.959500,-90.000000,top
"R31","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",100.965000,-89.508500,90.000000,top
"R32","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",195.200000,-118.999000,0.000000,top
"R33","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.705000,-118.999000,0.000000,top
"R34","2K2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",193.041000,-100.203000,0.000000,top
"R35","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.609000,-114.791000,-90.000000,top
"R36","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.149000,-114.791000,-90.000000,top
"R37","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.959000,-114.791000,-90.000000,top
"R38","2K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.499000,-114.791000,-90.000000,top
"R39","4.7K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",90.170000,-106.830500,-90.000000,top
"R40","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",92.202000,-106.830500,90.000000,top
"R41","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",88.392000,-93.114500,-90.000000,top
"R42","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",90.297000,-93.114500,-90.000000,top
"R43","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",98.933000,-89.508500,90.000000,top
"SW1","IO0","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS-alt",110.936000,-125.172000,180.000000,top
"SW2","RESET","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS-alt",99.506000,-125.172000,180.000000,top
"SW3","DEFAULTS","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS-alt",77.916000,-113.298500,90.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",122.366000,-88.346500,0.000000,top
"U2","LM386","SOIC-8_3.9x4.9mm_P1.27mm",174.253499,-98.425000,0.000000,top
"U3","MAX3232E","SOIC-16_3.9x9.9mm_P1.27mm",154.751000,-103.972500,0.000000,top
"U4","DS2417","TSOC-6_3.76x3.94mm_P1.27mm",105.090000,-102.107000,90.000000,top
"U5","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",79.337500,-97.967800,-90.000000,top
"U6","USBLC6-2SC6","SOT-23-6",95.250000,-84.322500,90.000000,top
"U7","FT231XS","SSOP-20_3.9x8.7mm_P0.635mm",94.936000,-99.758500,180.000000,top
"Y1","32.768MHz","Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal",106.106000,-98.298000,180.000000,top
